baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
?|100133144	21.2914588683378	-0.390380244868599	0.549419693335188	-0.710531947806315	0.477374326704471	0.873535857894901
?|100134869	23.5889366554453	0.0229221804962906	0.389850071041307	0.0587974254693977	0.95311345909266	0.991299269817415
?|10357	316.861690808744	-0.173936084353248	0.227003703596139	-0.766225755781929	0.443541985816069	0.860364971397002
?|10431	2349.2723229697	0.0612327454065896	0.169441219062233	0.36138045834113	0.717815054338679	0.94122648416071
?|155060	509.210749998019	-0.401370073044762	0.321858230360912	-1.24703995481082	0.212382847746704	0.726383012678422
?|26823	0.74654529404373	0.933242348394596	0.782082059325837	1.19327932058569	0.232759998557251	NA
?|280660	0.928205328526593	-2.23279071980823	4.67665184761068	-0.477433598344288	0.633053394037795	NA
?|340602	5.32092647408974	-2.6484181309103	1.52079114892229	-1.74147392479704	0.081600540031837	0.575348612613227
?|388795	5.55970212209215	-0.482704101115371	0.784628154290349	-0.615201096820122	0.538421923539676	0.89006754286798
?|390284	9.26889392595738	-0.0343673096972707	0.342930026362402	-0.100216682866236	0.920172301679531	0.985884703469812
?|391343	0.742490452038891	-1.56535042243573	1.79700382861281	-0.871089085905897	0.383705512883646	NA
?|553137	4.56166508541	-1.114486666671	1.45360702483786	-0.766704238234759	0.443257383197463	0.860250122848444
?|57714	1225.54751726323	-0.0924655285939084	0.403644335460618	-0.229076740265391	0.818809271389143	0.966064852036155
?|645851	34.1085753294974	-0.067984153463292	0.472752251198191	-0.143805033801502	0.885654427797066	0.977476728258716
?|652919	12.3395435817848	0.827262967158649	1.45527788302234	0.568457046458082	0.569724664124938	0.899371197359818
?|653553	2959.31959522328	0.33297738888299	0.3394272872813	0.98099770218838	0.326593874683895	0.807179922625065
?|728788	0.935204057441004	-0.333438222276807	0.989892100757234	-0.336842997354699	0.73623525802293	NA
?|729884	565.36366541698	-0.497256700927416	0.88478500280942	-0.56200850980577	0.574110221165649	0.900937835350642
?|8225	1801.7619042696	-0.12430465008132	0.22979705996546	-0.540932290865706	0.58855425299145	0.904991547898353
?|90288	9.45311103599143	-1.73036697264666	0.612519726410591	-2.82499795196268	0.00472809182438185	0.190640977940489
A1BG|1	153.674119071496	-0.899463258259708	0.566437191167666	-1.58793114626802	0.112301909586504	0.626776599940737
A1CF|29974	0.728482708841845	-0.248615307073886	1.67819579530114	-0.148144398746557	0.882228810863874	NA
A2BP1|54715	1.48407998409888	-0.809346526578287	1.60516366704315	-0.504214332280004	0.614110769929787	0.913176253296578
A2LD1|87769	229.746337402131	-0.599559199850102	0.297880493653952	-2.01275079309695	0.0441408529199313	0.472871570945556
A2ML1|144568	3431.03328181833	-1.18042815359674	0.903860507305307	-1.30598487715319	0.191557700420487	0.709821172110271
A2M|2	21147.79941774	0.249646205406833	0.435145673760156	0.573707198441395	0.566165956317567	0.898081936319429
A4GALT|53947	1946.73701149258	-0.181102826960116	0.407541197461828	-0.444379189363008	0.656768456730659	0.925596697369113
A4GNT|51146	1.51683030785924	-0.2416085391197	0.859808929725452	-0.281002593444625	0.778708410667089	0.957461448060816
AAA1|404744	0.692491875570973	-0.269562645125752	1.32409513382656	-0.203582535906412	0.838679741660531	NA
AAAS|8086	1824.2479347488	-0.0521579536591048	0.178637973312113	-0.291975735573172	0.770305176229141	0.956408268173879
AACSL|729522	8.39162236319717	-2.68703291652109	1.19590101018223	-2.24686900808925	0.0246483998982382	0.39246837096316
AACS|65985	1616.44248236165	-0.303432453661407	0.22892486657488	-1.32546742606556	0.185016166421026	0.704009436276564
AADACL2|344752	9.09791787737787	-2.46358812199462	1.52912090565049	-1.61111401517763	0.107154874181857	0.617366198614783
AADACL3|126767	1.60933586327445	-2.37220534487494	3.90440485631426	-0.607571558835291	0.543471668800613	0.891820093886998
AADAC|13	443.98846700994	0.925966214183485	1.02535769428423	0.90306652921727	0.366490586733086	0.827456506961985
AADAT|51166	429.588694045048	0.255372855192998	0.398982175263328	0.640060812301833	0.522133064586061	0.885153416354041
AAGAB|79719	2495.63777685285	-0.0709853470445917	0.134429874121469	-0.528047411399421	0.597466429556531	0.908305369877031
AAK1|22848	2213.2755825559	-0.0282110848988612	0.183379691566753	-0.153839744509505	0.877736095252007	0.976100041475832
AAMP|14	5675.9913774032	0.266637575791625	0.148943336220434	1.79019473148503	0.0734226117770051	0.554970516242126
AANAT|15	1.41173497892798	-1.46439990957686	0.862957502502658	-1.69695483883038	0.0897051989871148	0.588992185480821
AARS2|57505	1225.10763737264	-0.199778149450337	0.179757591265519	-1.11137531407642	0.266406833522219	0.769683872779683
AARSD1|80755	1507.49198219307	-0.0828998845141107	0.215718781335654	-0.384296091424326	0.700759004599621	0.937518691918571
AARS|16	6068.34551573604	-0.115468193371396	0.21111247454101	-0.546951067777692	0.584412349854174	0.902593266934077
AASDHPPT|60496	1608.11289091353	-0.133388338777573	0.232548283062911	-0.573594167287348	0.566242459670899	0.898081936319429
AASDH|132949	422.140679412488	0.0574678999157242	0.175916251932662	0.326677605305745	0.743911740118222	0.948805569855859
AASS|10157	619.560173738347	0.157682137567959	0.458498748132964	0.343909635980579	0.730914244940838	0.945382826424865
AATF|26574	3509.71010597119	-0.189309916032472	0.165615302246556	-1.14307019619866	0.253009447375647	0.759369111432544
AATK|9625	117.996823594769	-0.362760628254509	0.410773675111558	-0.883115570042286	0.37717383252328	0.832769348573754
ABAT|18	1359.52383447907	0.361647131194531	0.530963316723218	0.681115097416516	0.495798664810981	0.878195596635294
